# Destination
1515 2995 0
1517 2995 0
1562 3573 0
1596 3664 0
1661 3141 0
1667 12505 0
1667 12507 0
1675 12505 0
1675 12507 0
1778 3057 0
1778 3060 0
1766 10158 0
1801 9489 0
1804 9483 0
1958 5341 0
1962 9072 1
2218 2784 0
2228 6256 0
2230 6256 0
2359 6366 0
2313 9798 0
2394 3796 0
2397 3805 0
2441 6086 0
2499 3332 0
2501 3330 0
2551 3898 0
2613 3078 0
2613 3081 0
2616 3081 0
2615 6366 0
2650 2658 0
2652 2658 0
2650 3164 0
2652 3164 0
2652 3166 0
2635 3416 0
2637 3418 0
2639 3420 0
2712 3495 0
2713 3492 0
2714 3495 0
2790 3101 0
2918 3573 0
2999 3144 0
2991 3689 0
2955 5802 0
2960 5803 0
3062 3952 0
3012 9811 0
3012 9814 0
3075 9497 0
3075 9499 0
3083 9497 0
3083 9499 0
3112 9689 0
3188 3421 0
3188 3424 0
3188 3426 0
3190 3938 0
3228 3434 0
3228 3436 0
3246 3404 0
3248 3404 0
3285 6054 0
3287 6055 0
3288 6053 0
3360 3155 0
3406 2834 0
3409 2921 0
3754 3318 0
3754 3320 0
3892 4893 0
3892 4896 0
3892 4898 0
3932 4906 0
3932 4908 0
3950 4876 0
3952 4876 0
