# Destination
1289 3237 0
1713 6114 0
2529 3286 0
2604 3208 0
2607 3208 0
2617 3309 0
2694 3462 0
2995 3177 0
3121 3106 0
3243 3207 0
3208 3494 1
3376 3285 0
3416 3488 0
3912 4966 1
3051 3498 1
2341 9629 0
3232 9311 0
2283 3427 0
2356 3171 1
2804 6115 1
2932 6179 1
3246 6116 0
3263 6091 2
3307 6179 0
3253 3486 0
3957 4958 0
2749 3496 1
2889 3510 1
3280 2774 0
1688 3792 2
1310 3619 0
1282 3677 0
2456 2839 2
3177 3625 0
1775 5467 0
1497 3562 0
3742 4320 0
3746 4319 0
3742 4318 0
1617 3672 2
2073 6168 2
2728 3282 0
1743 3500 0
1733 3572 0
1547 3807 0
2157 3863 0
3421 3179 0
2939 5202 0
